<<<<<<< HEAD
TemplateID,ItemMesh,WeaponName,AtkDmg,AtkSpd,AttackDirection,AttackRangeValue1,AttackRangeValue2
1,,IronSword,10,1,0,2,120
1,itemaluminumbat,IronSword,10,1,1,2,120
2,pickaxe,Spear,20,1,2,2,1
3,,Gun,20,0.3,3,10,1
4,,Bow,20,0.5,4,10,120
=======
﻿TemplateID,ItemMesh,WeaponName,AtkDmg,AtkSpd,AttackDirection,AttackRangeValue1,AttackRangeValue2,
101,Sprite/CopperSword,Copper Sword,10,0.5,2,2,90
102,Sprite/ironspear,Iron Spear,15,1,3,3,1
103,Sprite/LaserGun,Laser Gun,15,1,4,3,1
104,Sprite/Pistol,Pistol,15,1,5,3,1
>>>>>>> 012a8b39cdb4f0b9aae6c5d0ce50827ca7ff456b
